<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,09/10/18,10:01,116090.0,116760.0,116090.0,116500.0,6193
SPFB.RTS-12.18,1,09/10/18,10:02,116500.0,116550.0,116420.0,116460.0,2127
SPFB.RTS-12.18,1,09/10/18,10:03,116460.0,116480.0,116370.0,116390.0,1494
SPFB.RTS-12.18,1,09/10/18,10:04,116390.0,116450.0,116300.0,116370.0,1554
SPFB.RTS-12.18,1,09/10/18,10:05,116370.0,116560.0,116370.0,116550.0,1826
SPFB.RTS-12.18,1,09/10/18,10:06,116550.0,116670.0,116540.0,116620.0,3219
SPFB.RTS-12.18,1,09/10/18,10:07,116620.0,116680.0,116590.0,116630.0,1597
SPFB.RTS-12.18,1,09/10/18,10:08,116630.0,116690.0,116600.0,116630.0,2512
SPFB.RTS-12.18,1,09/10/18,10:09,116620.0,116670.0,116580.0,116660.0,1063
SPFB.RTS-12.18,1,09/10/18,10:10,116650.0,116680.0,116600.0,116630.0,1164
SPFB.RTS-12.18,1,09/10/18,10:11,116640.0,116700.0,116620.0,116670.0,787
SPFB.RTS-12.18,1,09/10/18,10:12,116660.0,116700.0,116600.0,116610.0,1194
SPFB.RTS-12.18,1,09/10/18,10:13,116610.0,116620.0,116580.0,116590.0,423
SPFB.RTS-12.18,1,09/10/18,10:14,116590.0,116600.0,116530.0,116580.0,1080
SPFB.RTS-12.18,1,09/10/18,10:15,116560.0,116590.0,116530.0,116550.0,474
SPFB.RTS-12.18,1,09/10/18,10:16,116540.0,116620.0,116510.0,116600.0,1152
SPFB.RTS-12.18,1,09/10/18,10:17,116600.0,116720.0,116590.0,116710.0,1262
SPFB.RTS-12.18,1,09/10/18,10:18,116710.0,116770.0,116680.0,116750.0,1601
SPFB.RTS-12.18,1,09/10/18,10:19,116760.0,116770.0,116690.0,116710.0,1130
SPFB.RTS-12.18,1,09/10/18,10:20,116710.0,116750.0,116680.0,116730.0,686
SPFB.RTS-12.18,1,09/10/18,10:21,116740.0,116850.0,116720.0,116810.0,1807
SPFB.RTS-12.18,1,09/10/18,10:22,116810.0,116890.0,116810.0,116840.0,1664
SPFB.RTS-12.18,1,09/10/18,10:23,116830.0,116900.0,116790.0,116820.0,1035
SPFB.RTS-12.18,1,09/10/18,10:24,116830.0,116880.0,116820.0,116850.0,510
SPFB.RTS-12.18,1,09/10/18,10:25,116840.0,116930.0,116830.0,116880.0,1495
SPFB.RTS-12.18,1,09/10/18,10:26,116880.0,116940.0,116810.0,116820.0,1891
SPFB.RTS-12.18,1,09/10/18,10:27,116820.0,116830.0,116670.0,116670.0,1683
SPFB.RTS-12.18,1,09/10/18,10:28,116670.0,116780.0,116670.0,116760.0,1336
SPFB.RTS-12.18,1,09/10/18,10:29,116760.0,116800.0,116670.0,116680.0,1059
SPFB.RTS-12.18,1,09/10/18,10:30,116680.0,116720.0,116620.0,116660.0,1068
SPFB.RTS-12.18,1,09/10/18,10:31,116660.0,116690.0,116570.0,116590.0,1045
SPFB.RTS-12.18,1,09/10/18,10:32,116600.0,116690.0,116580.0,116610.0,877
SPFB.RTS-12.18,1,09/10/18,10:33,116590.0,116700.0,116580.0,116650.0,784
SPFB.RTS-12.18,1,09/10/18,10:34,116660.0,116720.0,116660.0,116690.0,390
SPFB.RTS-12.18,1,09/10/18,10:35,116690.0,116700.0,116590.0,116690.0,575
SPFB.RTS-12.18,1,09/10/18,10:36,116680.0,116710.0,116640.0,116660.0,388
SPFB.RTS-12.18,1,09/10/18,10:37,116690.0,116780.0,116690.0,116780.0,702
SPFB.RTS-12.18,1,09/10/18,10:38,116780.0,116800.0,116750.0,116780.0,524
